id;text;Evaluation
1199090857137324034;"""When you buy a £5 Ryanair ticket https://t.co/7QHyfze112""";Negative
1160210492113244160;"""@MGHuff @haigpapa @mashrou3leila @airfrancemusic @OLYMPIAHALL @airfrance The Stupid Lebanese people supporting and agreeing on mashrou3 Layla songs , proves that the illiterates are Anti-Semitic (Christians and Arabs included) . Anti semitism is faced by law in Europe you idiots""";Negative
1156544582059905025;"""[RTE] 1,500 jobs at risk as Ryanair cuts 'unavoidable' https://t.co/kBb49YKWjm | @rtenews https://t.co/YuyIM7ECxM""";Negative
1155700451410505729;"""In the amount of time I spent traveling with @AmericanAir today I could have made it to Hawaii...instead I have a 3 hour car ride from Fresno to my actual destination. 5797 5905 (and we watched as 5839 left PHX without us)! #delayedwithnoexplanation #diverted #cancelled""";Negative
1238857847074508800;"""@British_Airways Okay, so now my booking has disappeared and status shows that all flights have been flown. I still haven't heard anything back about refund or voucher. I've been DMing and tweeting you for days.""";Negative
1228366518062374918;"""This Barr interview is DeNiro in Goodfellas yelling at Johnny Roastbeef for buying his wife a Cadillac after the Lufthansa heist.""";Negative
1214651976052625408;"""@Ryanair u suck""";Negative
1142594613573644288;"""I’m going to guess she didn’t vote for Hillary""";Negative
1147042905552388096;"""@shomik_s @Qantas For Mrs Sengupta to sit up the front, and you look after the little tackers....that is.""";Negative
1239578502866731008;"""Did someone called u to India? Are u doing any favour for India by landing at Delhi airport? U know u people r very selfish. When u got trouble, u immediately left the nation where u were enjoying and after coming u are asking for 5 star hotel in a so bad disaster like situation""";Negative
1239876714215493632;"""@easyJet can you tell us why EZY9704 is delayed until 1451?? \nFlight tracker is suggesting the plane lands in Tenerife at approximately 1200""";Negative
1142186494041440256;"""SUMMER: Detroit to Paris, France for only $329 roundtrip with @AmericanAir.\n\nhttps://t.co/SIIQ8H0BHk https://t.co/xqlUbndkll""";Neutral
1240727958714753025;"""We are appealing to everyone that were on these two airlines - \nTurkish flight of 14th of March, 2020 TK1830 and Lufthansa Flight of 13th of March, 2020 LH568 to self isolate and contact Lagos State Ministry of Health on 08000CORONA\n@jidesanwoolu @ProfAkinAbayomi\n#COVID19Lagos https://t.co/RqVXnCo9PQ""";Neutral
1151844508885114882;"""#ETNOWExclusive | @EtihadAirways-#Hinduja, Adi Partners, @IndiGo6E Partners-TPG likely to participate in EoIs\n@uttkarsh311090 @MoCA_GoI @jetairways #jetairwayscrisis #JetAirways @TPG_Telecom https://t.co/mGjdL0XLRM""";Neutral
1211691162060410885;"""@Hayleylandshark We're reviewing it now and will be in touch with you there soon.""";Neutral
1219032468088664067;"""@ghostrunner26 Please speak with our team members. It's showing here Panasonic is the provider for this flight.""";Neutral
1243877360920940544;"""@Hizzaw Hi, may we seek more details of what transpired? Thank you.""";Neutral
1151465480491847680;"""Ryanair Halves 2020 Growth Plans On Boeing MAX Delays\nhttps://t.co/QgCiWvv0Xr""";Neutral
1143188414516334593;"""Due to ATC staff shortages and thunder &amp; lightning over the UK there have been some delays this afternoon and we expect these to continue into the evening. \n\nPlease check your live flight status here: https://t.co/dMVeXEUo6a https://t.co/NMDsEWtIgf""";Neutral
1168509538187829248;"""@nhavenga Our fleet composition is based on various factors, including our network, passenger flows, frequency and fuel efficiency. Furthermore 747 fleet will gradually be phased out. \nThank you!""";Neutral
1166089801575129092;"""@kckatykc We're sorry we didn't get back to you sooner, Katy. We can see you've now managed to speak with someone and rebook your flights. AlexF""";Neutral
1232309451127951360;"""@1manrockbandbby I'm sorry to hear that Rodrigo. Can you please contact our customer service team here https://t.co/ut0dBfctb6 who will be able to help you with that. Scott""";Neutral
1213175202965835778;"""My dad does papers for anyone that want to stay in naija.. he was a top top immigration officer.. this might be his cashout time.\nHe handles airfrance, KLM, Cartepillar (Mantrac) Raddison to mention a few.. \nhe doesn’t over like money __""";Neutral
1202211540138639362;"""Ryanair expects to attract half the number of passengers previously projected for next year due to the grounding of the Boeing 737 Max jetliner https://t.co/ChjUexpu0i""";Neutral
1240974975609208839;"""British press has offered money to defame Meghan Markle: Simon Rex | Entertainment https://t.co/4c8gRUKAkf https://t.co/TviArYbY80""";Neutral
1196441751600422912;"""@RwandanRep Maybe someday one will land at Bugesera __. The closest I can predictably get to flying in a jumbo jet will be the US-Rwanda route getting on the Boeing 747-400 (Combi) that plys the route of Chicago-AMS. Hopefully before KLM retires it.""";Neutral
1236507309662023680;"""@BethRogers10 Hi Beth, may we know which email address you sent to and when you reached out? Thank you.""";Neutral
1204720245157638145;"""I just want to see someone sit up because they don't like the free food on offer, and the table rise back up as others are tucking into the food :D""";Neutral
1150691329338499072;"""@Ryanair @alongdustyroads @Ryanair I sent you DM""";Neutral
1237237524919209985;""".@Ricky_Martin ¿estas listo? The #CitiPresale for Citi  / AAdvantage Cardmembers starts tomorrow at 10 AM. @AmericanAir @Citibank\nhttps://t.co/TogkIKwDCC https://t.co/JwENV5Js0A""";Neutral
1233019196855988226;"""New post: Lufthansa is expanding its services to Canada https://t.co/4rRK3bOhGD""";Neutral
1243645801722785805;"""@oswaldtheson Oh I told you I was about getting Klm it’s gonna take a couple of minutes , you can hold on for a while if you don’t mind""";Neutral
1241387448799641601;"""Indian authority has allowed KLM flight with Indian passengers to land in India tomorrow. A KLM flight was returned to Amsterdam today, as following the govt earlier orders, passengers from Europe, including Indian passport holders, were not allowed to land in India. #COVID19""";Neutral
1154479565751902208;"""@JohnWomersley I'm sorry that your flight has been delayed John. Please keep checking with our flight tracker for updates and information. See here - https://t.co/CvpoglXQZ7. I hope that you are on your way soon. Margaret""";Neutral
1191284265591422976;"""I saw them on an easyJet in economy and it was exactly the same view luv https://t.co/1Oecd2mtMO""";Neutral
1149344405372985344;"""France will implement an ‘ecotax’ on plane tickets from 2020 https://t.co/plIBM1Hbt5 via @phillyinquirer""";Neutral
1205080295403327488;"""Abu Dhabi set to become a new low-cost arena. @airarabiagroup and @EtihadAirways will start new LCC early 2020, now @wizzair enters the frame too.""";Neutral
1222573975890546689;"""McDonald’s and Starbucks closed thousands of stores combined in China; \n\nApple is preparing for production delays in its supply chain; \n\nToyota halted production; \n\nDeutsche Lufthansa AG halted all flights to and from the mainland.\n\nSource: Bloomberg""";Neutral
1210594524038410242;"""@VirginAtlantic is it ok to bring coffee beans back from the US to the UK? And would it be best to go in hand luggage or a suitcase if its ok? Thanks""";Neutral
1234164775506063360;"""@British_Airways hi could you get in touch with me to@assist me with an urgent matter""";Neutral
1174606776110669825;"""Ryanair AGM narrowly approves bonus plan for CEO O’Leary https://t.co/fzrFY9HLwv""";Neutral
1242483010848645126;"""the one guidance I want from professionals is when it will be safe to take advantage of these airfare deals""";Neutral
1237764349764046848;"""@SingaporeAir Please allow change of dates without penalty during this time.""";Neutral
1230894881960349698;"""Damn what's her @, she bad""";Neutral
1171082533523488768;"""@mcclairkieran Hello, can you please DM us your full name, date of travel and destination please, we can certainly provide you with this information. ^RV""";Neutral
1240794932455059457;"""#COVID19Lagos Alert__\n\nAre you one of the travellers that arrived in Nigeria on the following flights?\n1__Virgin Atlantic flight VS411 and \nLufthansa Flight LH568 of 13th March, 2020.\n2__Turkish flight TK625 of 14th March 2020.\n@jidesanwoolu @ProfAkinAbayomi @LSMOH \n#LASG https://t.co/okCmZ0S9eF""";Neutral
1179670693266505728;"""Update, @lufthansa to the rescue! I will be home in 55 minutes for a price that is about the same as @DB_Bahn has offered for my original ticket. Hard to be environmentally conscious when the faster options is not only the same price but also more reliable... #diebahn""";Positive
1205052102763900928;"""@tim_cook Hi Tim, thanks for sharing this with us! Hope you enjoyed your visit to Singapore!""";Positive
1213187110431313920;"""PLEASE RT \nIt would be great if @Qantas could put on a few free flights on as I am sure I could organise enough British veterans to go out and help with the fires in Australia.\nI am sure veterans would be queuing up to support you if you could get us over there https://t.co/zOMGDFjZ56""";Positive
1190639899051020290;"""@white_ca @AmericanAir Thank God!  Have a nice trip and a beverage to settle in and relax for the duration of the flight. I'm pleased it was straightened out! Have a wonderful weekend!""";Positive
1166488699183476737;"""@ChrisTheWebber We appreciate your extra patience with the change in planes today, Chris.""";Positive
1232321885658066944;"""@AFnewsroom @FranceinIndia @FranceinPondi @AirFranceIN @airfrance Thank You. __""";Positive
1232775221645660161;"""We’re excited this all-Jamaican #AATeam operated a flight from Kingston, Jamaica to @iflymia! https://t.co/tBpFto5v5O""";Positive
1179457985141063680;"""Nice job on our flight this morning @AmericanAir honoring Specialist Fourth Class John Baca and Medal Of Honor recipient. Great touch sharing his story with each of us. #AAHeroes https://t.co/APCZZEFPl0""";Positive
1154490030271975425;"""Whoever you are...THANK YOU!  This @AmericanAir guy is living his #bestlife!\n__________  __ #nashville #musiccity @Ginger_Zee https://t.co/VfQWPeuURg""";Positive
1197190576120180736;"""Thanks for the luv, @bts_twt! It was our pleasure to fly you on our wings. __""";Positive
1229154352587300864;"""‘From now on, that’s how you land!’ Earlier today at @HeathrowAirport: @Airbus A380 @EtihadAirways, crosswind landing during #StormDennis. Video: https://t.co/g4gKvMaAb6 ____ @AirbusPRESS @a380fanclub @stef_schaffrath @sara_rcc @AirbusintheUK https://t.co/VmlK1d25Gs""";Positive
1150545291952758785;"""@CJArcher323 Delays are indeed frustrating for everyone one of us. We're happy that our manager at LAS was able to help! #AATeam""";Positive
1235665712376614913;"""No! #stockholm #Sweden next week with @Millymay72 hooray! #wine #travel @British_Airways @HeathrowAirport whoop whoop #meatballs #food @VisitSwedenUK cannot wait __""";Positive
1152560286521577472;"""An absolutely incredible flypast from @British_Airways G-BYGC #BOAC and @rafredarrows If this doesn’t give you a lump in the throat and goosebumps... ____ #RIAT #RIAT19 #RedArrows #avgeek https://t.co/14vzh7dyQw""";Positive
1173564263857827840;"""Good Morning __ \nFor those who want to fly with KLM __ https://t.co/GcIQpz6FkG""";Positive
1161591819521519616;"""Literally.. still after all this time I just sit and gaze at G-BNLY. This was the livery of my childhood, I managed to get her rotating in moody skies too, 1990 or 2019?? __  @British_Airways @HeathrowAirport #avgeek #ba100 #landor #beautiful https://t.co/mUKZesffHk""";Positive
